"","centre","pass_rate","Lat","Long"
"1","Aberdeen North","55.5434486515936",57.1850555,-2.095251
"2","Aberdeen South (Cove)","51.662707838479797",57.088588,-2.107476
"3","Abergavenny","57.342849300027403",51.8159428,-3.0105875
"4","Aberystwyth (Park Avenue)","49.728555917481003",52.411171,-4.079847
"5","Airdrie","45.4717491213842",55.866604,-3.988879
"6","Alness","58.158508158508198",57.690631,-4.268129
"7","Alnwick","64.276048714479003",55.4124144,-1.7089238
"8","Arbroath","64.7151898734177",56.550039,-2.612723
"10","Ashford (Kent)","45.058139534883701",51.146543,0.878343
"11","Ashford (London Middlesex)","49.018067556952097",51.432548,-0.461929
"12","Atherton (Manchester)","50.059435364041597",53.5301242,-2.5046593
"13","Aylesbury","48.415452232246103",51.8218381,-0.8421985
"15","Bala","52.6392961876833",52.9088542,-3.6002712
"16","Ballater","70.454545454545496",57.0456213,-3.0411701
"17","Banbury","52.287712287712303",52.0593093,-1.3426166
"18","Banff","62.903225806451601",57.666245,-2.523942
"20","Barking (Tanner Street)","34.463447858332103",51.5431311,0.0780831
"21","Barnet (London)","36.706547025589899",51.6460386,-0.1870182
"22","Barnsley","49.480086325289399",53.5544327,-1.5021597
"23","Barnstaple","53.946388682055101",51.084954,-4.082568
"24","Barrow In Furness","54.133754607688303",54.118174,-3.2416709
"25","Barry","58.010563380281702",51.399694,-3.279244
"27","Basingstoke","50.526551646874303",51.2452507,-1.112492
"28","Belvedere (London)","33.225748610364001",51.4836063,0.1421344
"29","Berwick-On-Tweed","67.216494845360799",55.7631583,-2.0161174
"30","Beverley LGV","53.271028037383203",53.844191,-0.404926
"31","Birmingham (Cocks Moors Woods)","39.8108602806589",52.4170147,-1.8888557
"33","Birmingham (Kings Heath)","39.108236895847497",52.4065681,-1.8871214
"34","Birmingham (Kingstanding)","37.629937629937601",52.543866,-1.8904862
"35","Birmingham (Shirley)","44.501449921927303",52.4047535,-1.8222885
"36","Birmingham (South Yardley)","32.768549280177197",52.453964,-1.8100977
